Date,AAPL,AMZN,MSFT,TSLA
2020-01-02,72.4005126953125,94.90049743652344,152.15838623046875,28.68400001525879
2020-01-03,71.6966323852539,93.74849700927734,150.2637481689453,29.534000396728516
2020-01-06,72.26795959472656,95.14399719238281,150.6521453857422,30.1026668548584
2020-01-07,71.92805480957031,95.34300231933594,149.2785186767578,31.270666122436523
2020-01-08,73.0851058959961,94.59850311279297,151.65635681152344,32.80933380126953
2020-01-09,74.63749694824219,95.05249786376953,153.5509490966797,32.089332580566406
2020-01-10,74.80620574951172,94.15799713134766,152.84046936035156,31.876667022705078
2020-01-13,76.40441131591797,94.56500244140625,154.67828369140625,34.990665435791016
2020-01-14,75.3727035522461,93.47200012207031,153.58883666992188,35.861331939697266
2020-01-15,75.04969024658203,93.10099792480469,154.58351135253906,34.56666564941406
2020-01-16,75.98981475830078,93.89700317382812,157.41604614257812,34.232666015625
2020-01-17,76.83109283447266,93.23600006103516,158.29701232910156,34.03333282470703
2020-01-21,76.3104248046875,94.5999984741211,157.72862243652344,36.47999954223633
2020-01-22,76.58280181884766,94.37300109863281,156.9707489013672,37.97066879272461
2020-01-23,76.95160675048828,94.22899627685547,157.9370574951172,38.14666748046875
2020-01-24,76.72982788085938,93.08200073242188,156.3455352783203,37.654666900634766
2020-01-27,74.47357177734375,91.41699981689453,153.73094177246094,37.201332092285156
2020-01-28,76.58039093017578,92.6624984741211,156.743408203125,37.793331146240234
2020-01-29,78.18341827392578,92.9000015258789,159.1875,38.732666015625
2020-01-30,78.07010650634766,93.53399658203125,163.67776489257812,42.72066879272461
2020-01-31,74.60857391357422,100.43599700927734,161.26211547851562,43.371334075927734
2020-02-03,74.40367126464844,100.20999908447266,165.19354248046875,52.0
2020-02-04,76.86001586914062,102.4834976196289,170.63107299804688,59.137332916259766
2020-02-05,77.48675537109375,101.99349975585938,170.4226837158203,48.97999954223633
2020-02-06,78.39312744140625,102.5114974975586,173.9562225341797,49.930667877197266
2020-02-07,77.32754516601562,103.96399688720703,174.20254516601562,49.871334075927734
2020-02-10,77.69481658935547,106.69550323486328,178.75912475585938,51.41866683959961
2020-02-11,77.2260513305664,107.54000091552734,174.7235565185547,51.62533187866211
2020-02-12,79.05998992919922,108.0,174.97930908203125,51.15266799926758
2020-02-13,78.49701690673828,107.49349975585938,174.03201293945312,53.599998474121094
2020-02-14,78.51632690429688,106.74349975585938,175.5855712890625,53.33533477783203
2020-02-18,77.07868194580078,107.78350067138672,177.3665313720703,57.22666549682617
2020-02-19,78.19499969482422,108.51100158691406,177.89849853515625,61.16133117675781
2020-02-20,77.39279174804688,107.65499877929688,175.1817626953125,59.96066665649414
2020-02-21,75.64102172851562,104.79850006103516,169.643798828125,60.06666564941406
2020-02-24,72.04800415039062,100.4645004272461,162.3295440673828,55.58599853515625
2020-02-25,69.60758972167969,98.63700103759766,159.65081787109375,53.32733154296875
2020-02-26,70.71183776855469,98.97949981689453,161.6456298828125,51.91999816894531
2020-02-27,66.08952331542969,94.21499633789062,150.25619506835938,45.266666412353516
2020-02-28,66.0508804321289,94.1875,153.89437866210938,44.53266525268555
2020-03-02,72.20022583007812,97.69750213623047,164.13436889648438,49.574668884277344
2020-03-03,69.90721893310547,95.44950103759766,156.26913452148438,49.70066833496094
2020-03-04,73.14984130859375,98.79149627685547,162.0065460205078,49.96666717529297
2020-03-05,70.7770767211914,96.20149993896484,157.94090270996094,48.30266571044922
2020-03-06,69.83715057373047,95.05449676513672,153.47642517089844,46.89866638183594
2020-03-09,64.3135757446289,90.03050231933594,143.0748748779297,40.53333282470703
2020-03-10,68.9455337524414,94.59100341796875,152.85897827148438,43.02199935913086
2020-03-11,66.551025390625,91.04299926757812,145.93414306640625,42.28200149536133
2020-03-12,59.97880172729492,83.83049774169922,132.093994140625,37.369998931884766
2020-03-13,67.16476440429688,89.25,150.8736572265625,36.44133377075195
2020-03-16,58.52421569824219,84.4574966430664,128.6363067626953,29.67133331298828
2020-03-17,61.09751892089844,90.39199829101562,139.22784423828125,28.68000030517578
2020-03-18,59.60185623168945,91.5,133.36685180664062,24.08133316040039
2020-03-19,59.14518356323242,94.04650115966797,135.56118774414062,28.50933265686035
2020-03-20,55.390316009521484,92.30449676513672,130.4696807861328,28.50200080871582
2020-03-23,54.21360397338867,95.1415023803711,129.16827392578125,28.952667236328125
2020-03-24,59.65260696411133,97.00499725341797,140.90914916992188,33.66666793823242
2020-03-25,59.323997497558594,94.29199981689453,139.56028747558594,35.95000076293945
2020-03-26,62.44579315185547,97.77449798583984,148.2899627685547,35.21066665649414
2020-03-27,59.86039733886719,95.00499725341797,142.20103454589844,34.29066848754883
2020-03-30,61.56869888305664,98.19750213623047,152.20352172851562,33.47533416748047
2020-03-31,61.443050384521484,97.48600006103516,149.80978393554688,34.93333435058594
2020-04-01,58.21010208129883,95.38500213623047,144.49026489257812,32.104000091552734
2020-04-02,59.181419372558594,95.94149780273438,147.4824981689453,30.29800033569336
2020-04-03,58.33091354370117,95.32949829101562,146.12416076660156,32.000667572021484
2020-04-06,63.419551849365234,99.87950134277344,156.99107360839844,34.41600036621094
2020-04-07,62.68501281738281,100.58000183105469,155.30023193359375,36.36333465576172
2020-04-08,64.28939819335938,102.1500015258789,156.85809326171875,36.589332580566406
2020-04-09,64.7533187866211,102.13800048828125,156.86758422851562,38.20000076293945
2020-04-13,66.02428436279297,108.44349670410156,157.21902465820312,43.39666748046875
2020-04-14,69.35872650146484,114.16600036621094,164.998779296875,47.32600021362305
2020-04-15,68.72565460205078,115.38400268554688,163.2699432373047,48.65533447265625
2020-04-16,69.27173614501953,120.40950012207031,168.17144775390625,49.680667877197266
2020-04-17,68.33179473876953,118.75,169.65333557128906,50.259334564208984
2020-04-20,66.91345977783203,119.68049621582031,166.2906494140625,49.75733184814453
2020-04-21,64.84513854980469,116.40599822998047,159.413330078125,45.781333923339844
2020-04-22,66.7129135131836,118.17449951171875,164.8278045654297,48.807334899902344
2020-04-23,66.45438385009766,119.97250366210938,162.83299255371094,47.04199981689453
2020-04-24,68.3729019165039,120.51100158691406,165.80616760253906,48.34333419799805
2020-04-27,68.42121124267578,118.80000305175781,165.33123779296875,53.25
2020-04-28,67.31214141845703,115.7040023803711,161.30361938476562,51.27466583251953
2020-04-29,69.52302551269531,118.635498046875,168.54193115234375,53.367332458496094
2020-04-30,70.98969268798828,123.69999694824219,170.23277282714844,52.12533187866211
2020-05-01,69.8468017578125,114.302001953125,165.82522583007812,46.75466537475586
2020-05-04,70.8350601196289,115.79949951171875,169.8813018798828,50.74599838256836
2020-05-05,71.89820861816406,115.88999938964844,171.70509338378906,51.2140007019043
2020-05-06,72.64000701904297,117.56300354003906,173.3959503173828,52.172000885009766
2020-05-07,73.39144897460938,118.38050079345703,174.4028778076172,52.00266647338867
2020-05-08,75.13829803466797,118.98049926757812,175.42872619628906,54.62799835205078
2020-05-11,76.32063293457031,120.44999694824219,177.38555908203125,54.08599853515625
2020-05-12,75.44841003417969,117.84750366210938,173.367431640625,53.96066665649414
2020-05-13,74.53742218017578,118.39600372314453,170.74571228027344,52.73066711425781
2020-05-14,74.99533081054688,119.44249725341797,171.4866485595703,53.55533218383789
2020-05-15,74.55197143554688,120.48899841308594,173.98489379882812,53.27799987792969
2020-05-18,76.30851745605469,121.31300354003906,175.64723205566406,54.242000579833984
2020-05-19,75.8675765991211,122.46649932861328,174.43133544921875,53.867332458496094
2020-05-20,77.34303283691406,124.89700317382812,176.850830078125,54.37066650390625
2020-05-21,76.76641845703125,122.33699798583984,174.72665405273438,55.17333221435547
2020-05-22,77.26068115234375,121.84400177001953,174.80284118652344,54.45866775512695
2020-05-26,76.73734283447266,121.09300231933594,172.95486450195312,54.591331481933594
2020-05-27,77.07168579101562,120.51950073242188,173.1835479736328,54.68199920654297
2020-05-28,77.10559844970703,120.05500030517578,172.7929229736328,53.72066879272461
2020-05-29,77.03050231933594,122.11849975585938,174.55520629882812,55.66666793823242
2020-06-01,77.9778060913086,123.552001953125,174.15509033203125,59.87333297729492
2020-06-02,78.33879852294922,123.62049865722656,176.13645935058594,58.770668029785156
2020-06-03,78.77008819580078,123.91999816894531,176.56507873535156,58.86399841308594
